OBJECTID,YEAR_,ALARM_DATE,CONT_DATE,CAUSE,REPORT_AC,GIS_ACRES,FIRE_NUM
"30348","1979",1979/09/19,,"14",,59.768669128417969,"00000000"
"30349","1979",1979/07/09,,"14",,45.748062133789062,"00000000"
"30350","1979",1979/07/18,,"14",,7.121187686920166,"00000000"
"30351","1979",1979/06/17,,"14",,56.627628326416016,"00000000"
"30352","1979",1979/07/15,,"14",,3.797645568847656,"00000000"
"30353","1979",1979/06/19,,"14",,93.967041015624986,"00000000"
"30354","1979",1979/07/04,,"14",,46.208503723144531,"00000000"
"30355","1979",1979/05/08,,"14",,54.100093841552734,"00000000"
"30356","1979",1979/07/17,,"14",,58.570968627929688,"00000000"
"30363","1987",1987/05/14,,"14",,349.003173828125000,"00000787"
"30364","1987",1987/09/01,,"14",,163.198471069335938,"00001687"
"30365","1987",1987/09/03,,"14",,152.384338378906250,"00000000"
"30366","1926",,,"9",,1671.370971679687500,"00000015"
"30367","1926",,,"14",,3953.360595703125000,"00000006"
"30368","1987",1987/04/21,,"14",,7.755603790283204,"00000000"
"30369","1987",1987/04/19,,"14",,118.944656372070327,"00000000"
"30370","1987",1987/08/09,,"14",,141.377059936523438,"00000000"
"30371","1987",1987/05/04,,"14",,56.920532226562493,"00000000"
"30373","1987",1987/04/25,,"14",,19.888639450073246,"00000000"
"30374","1987",1987/04/26,,"14",,9.064774513244627,"00000000"
"30375","1987",1987/07/12,,"14",,147.879211425781250,"00000387"
"30376","1987",1987/08/22,,"1",,11.457109451293945,"00000179"
"30381","1950",1950/06/01,,"14",,24.589410781860352,"00000000"
"30382","1950",1950/10/11,,"14",,603.531860351562500,"00001250"
"30383","1950",,,"9",,15428.317382812500000,"00000010"
"30384","1986",,,"14",,1409.092285156250000,"00000000"
"30385","1986",,,"14",,291.956146240234375,"00000000"
"30386","1986",1986/08/26,,"14",,1831.185424804687727,"00000000"
"30387","1986",1986/06/02,,"14",,1497.344604492187500,"00000000"
"30388","1986",1986/07/12,,"14",,100.150238037109375,"00000000"
"30390","1977",1977/02/20,1977/02/21,"5",3.000000000000000,2.987648725509644,"00000005"
"30391","1930",,,"14",,989.161193847656136,"00000004"
"30392","1959",,,"1",,146.026397705078125,"00000002"
